id_orden,fecha_produccion,linea_produccion,producto,turno,operador,maquina,unidades_planificadas,unidades_producidas,unidades_defectuosas,tiempo_ciclo_min,tiempo_paro_min,causa_paro,temperatura_c,consumo_energia_kwh,costo_produccion_cop,eficiencia_pct,tasa_defectos_pct,semana
OP-2000,2024-06-14,Línea D,Remache 6mm,Tarde,OP-106,Torno-02,2235,1443,91,3.76,30.2,Sin causa,23.6,528.88,2147000.0,64.56,6.31,24
OP-2001,2024-03-18,Línea A,Tuerca M8,Tarde,OP-109,CNC-02,3024,4317,66,5.33,61.8,Sin causa,25.0,439.95,4480000.0,100.0,1.53,12
OP-2002,2024-07-21,Línea B,Tuerca M8,Tarde,OP-109,CNC-01,3293,4278,103,7.7,114.0,Falla eléctrica,38.0,783.2,1584000.0,100.0,2.41,29
OP-2003,2024-11-29,Línea C,Varilla Roscada,Noche,OP-109,CNC-02,2839,2150,87,2.52,103.3,Mantenimiento,18.6,243.94,815000.0,75.73,4.05,48
OP-2004,2024-01-25,Línea D,Perno M12,Noche,OP-104,CNC-01,3741,1445,62,3.45,39.0,Falla eléctrica,43.8,579.14,272000.0,38.63,4.29,4
OP-2005,2024-02-07,Línea D,Tornillo M8,Mañana,OP-108,Prensa-01,1224,2449,118,4.77,4.5,Cambio de turno,19.2,114.68,1018000.0,100.0,4.82,6
OP-2006,2024-10-01,Línea D,Remache 6mm,Mañana,OP-102,Torno-01,4526,4126,99,1.56,71.5,Sin causa,22.4,516.22,654000.0,91.16,2.4,40
OP-2007,2024-02-18,Línea D,"Clavo 3""",Mañana,OP-104,Prensa-01,4464,2018,18,5.09,69.0,Cambio de turno,35.3,196.5,4571000.0,45.21,0.89,7
OP-2008,2024-07-06,Línea A,"Clavo 3""",Noche,OP-106,Prensa-02,3315,4659,31,7.81,29.0,Mantenimiento,21.1,57.06,3464000.0,100.0,0.67,27
OP-2009,2024-10-25,Línea B,Perno M12,Noche,OP-105,CNC-02,2844,4634,79,2.55,72.4,Cambio de turno,44.9,731.91,2989000.0,100.0,1.7,43
OP-2010,2024-01-30,Línea C,Remache 6mm,Mañana,OP-111,Torno-01,3832,2162,108,4.1,117.8,Sin causa,29.7,259.51,4735000.0,56.42,5.0,5
OP-2011,2024-09-16,Línea D,"Clavo 3""",Noche,OP-103,CNC-01,3983,4161,106,1.38,17.3,Sin causa,19.9,792.72,3167000.0,100.0,2.55,38
OP-2012,2024-04-19,Línea A,Tornillo M8,Noche,OP-105,Prensa-02,3080,3478,164,4.39,37.8,Cambio de turno,22.5,559.86,3589000.0,100.0,4.72,16
